City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,77.97,Light Rain,-9.8,-139.0333,Villa Enata
2,Grand Gaube,MU,79.38,Clear Sky,-20.0064,57.6608,Veranda Paul Et Virginie Hotel & Spa
10,Arraial Do Cabo,BR,82.26,Clear Sky,-22.9661,-42.0278,Pousada Porto Praia
14,Marsa Matruh,EG,81.88,Light Rain,31.3525,27.2453,Beau Site
15,Meulaboh,ID,78.17,Moderate Rain,4.1363,96.1285,Kost Pria
16,Mahebourg,MU,79.25,Clear Sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
20,Bairiki,KI,78.8,Light Intensity Shower Rain,1.3292,172.9752,Tarawa Boutique Hotel
23,Rikitea,PF,76.64,Overcast Clouds,-23.1203,-134.9692,People Thankyou
26,Coahuayana,MX,76.39,Overcast Clouds,18.7333,-103.6833,El Rranchito Michuacan De Ocampos
28,Cape Town,ZA,79.11,Overcast Clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Puerto Ayora,EC,75.16,Scattered Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Avarua,CK,80.65,Scattered Clouds,-21.2078,-159.775,Paradise Inn
43,Luganville,VU,77.32,Broken Clouds,-15.5333,167.1667,The Espiritu Hotel
50,Agustin Codazzi,CO,83.91,Overcast Clouds,10.0341,-73.2361,Hotel Perija
54,Vaini,TO,75.36,Broken Clouds,-21.2,-175.2,Keleti Beach Resort
55,Alibag,IN,86.07,Clear Sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
59,Hermanus,ZA,84.79,Scattered Clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
61,Sinnamary,GF,82.08,Broken Clouds,5.3833,-52.95,Aletheia Appartement Sinnamary
67,Matamoros,MX,75.31,Clear Sky,25.5333,-103.25,Quinta Belem
68,Kavaratti,IN,85.26,Broken Clouds,10.5669,72.642,Hotels In Lakshadweep Islands
69,Sabha,LY,80.42,Scattered Clouds,27.0377,14.4283,Foundation Taaj Asala For Historical Research And Archeology
73,Georgetown,MY,82.33,Few Clouds,5.4112,100.3354,Cititel Penang
77,Hithadhoo,MV,85.46,Overcast Clouds,-0.6,73.0833,Scoop Guest House
80,Isangel,VU,78.4,Broken Clouds,-19.55,169.2667,Tanna Lodge
88,Tucurui,BR,86.13,Overcast Clouds,-3.7661,-49.6725,Bbb Rooms Centro Tucurui Pa
90,Toamasina,MG,75.67,Light Rain,-18.1667,49.3833,Hotel H1
93,Lucapa,AO,76.57,Light Rain,-8.4192,20.7447,Residência Ulisses Dos Santos
95,Karratha,AU,82.56,Few Clouds,-20.7377,116.8463,Ibis Styles Karratha
96,Faanui,PF,80.76,Overcast Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Kalmunai,LK,83.68,Broken Clouds,7.4167,81.8167,Vs Villa
101,Waingapu,ID,79.25,Broken Clouds,-9.6567,120.2641,Pondok Wisata Elim
108,Namibe,AO,78.93,Clear Sky,-15.1961,12.1522,Hotel Chik Chik Namibe
116,Kloulklubed,PW,79.3,Overcast Clouds,7.0419,134.2556,Storyboard Beach Resort
117,San Patricio,US,81.07,Scattered Clouds,28.017,-97.5169,"Motel 6 Sinton, Tx"
127,Komsomolskiy,UZ,83.12,Overcast Clouds,40.4272,71.7189,Ikathouse
130,Inhambane,MZ,78.78,Scattered Clouds,-23.865,35.3833,Oceano
132,Alyangula,AU,80.47,Clear Sky,-13.8483,136.4192,Groote Eylandt Lodge
133,Caravelas,BR,84.04,Broken Clouds,-17.7125,-39.2481,Pousada Dos Navegantes
135,Kota Belud,MY,78.73,Overcast Clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
138,Aguining,PH,81.32,Overcast Clouds,10.0861,124.5944,Visayas Breeze Resort
