City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-05-01 11:25:22,-38.0023,-57.5575,48.22,86,20,10.0
1,Port Alfred,ZA,2022-05-01 11:25:23,-33.5906,26.891,71.19,57,52,5.99
2,Khurai,IN,2022-05-01 11:25:24,24.0436,78.3319,106.75,11,29,10.47
3,Alakurtti,RU,2022-05-01 11:25:25,66.9672,30.3491,36.95,50,77,8.52
4,Bokoro,TD,2022-05-01 11:25:27,12.3807,17.0568,105.64,19,90,8.1
5,Khasan,RU,2022-05-01 11:25:28,42.4308,130.6434,46.0,61,90,4.47
6,Ushuaia,AR,2022-05-01 11:25:29,-54.8,-68.3,47.86,57,40,4.61
7,Albany,US,2022-05-01 11:25:30,42.6001,-73.9662,42.73,68,1,2.24
8,Mataura,NZ,2022-05-01 11:25:31,-46.1927,168.8643,52.48,99,96,2.19
9,Butaritari,KI,2022-05-01 11:25:32,3.0707,172.7902,80.96,81,93,12.06
10,Ribeira Grande,PT,2022-05-01 11:25:33,38.5167,-28.7,63.0,88,20,5.75
11,Tuy Hoa,VN,2022-05-01 11:25:33,13.0833,109.3,81.3,81,89,10.47
12,Calabozo,VE,2022-05-01 11:25:34,8.9242,-67.4293,74.12,90,64,0.94
13,Half Moon Bay,US,2022-05-01 11:25:35,37.4636,-122.4286,51.93,86,100,19.57
14,Hithadhoo,MV,2022-05-01 11:25:36,-0.6,73.0833,85.53,71,54,15.73
15,Severo-Kurilsk,RU,2022-05-01 11:25:37,50.6789,156.125,33.94,90,36,8.5
16,Muisne,EC,2022-05-01 11:25:39,0.6,-80.0333,75.83,86,100,5.88
17,Busselton,AU,2022-05-01 11:25:40,-33.65,115.3333,60.03,77,1,9.37
18,Ketou,BJ,2022-05-01 11:25:41,7.3633,2.5998,91.08,53,62,4.99
19,Vardo,NO,2022-05-01 11:25:42,70.3705,31.1107,29.3,61,100,9.82
20,Upernavik,GL,2022-05-01 11:25:46,72.7868,-56.1549,2.93,73,11,3.89
21,Kapaa,US,2022-05-01 11:25:47,22.0752,-159.319,73.38,91,40,20.71
22,Punta Arenas,CL,2022-05-01 11:25:48,-53.15,-70.9167,41.11,93,75,10.36
23,Port Lincoln,AU,2022-05-01 11:25:49,-34.7333,135.8667,60.64,86,13,8.86
24,Talnakh,RU,2022-05-01 11:25:50,69.4865,88.3972,25.21,84,96,10.0
25,Hobart,AU,2022-05-01 11:21:00,-42.8794,147.3294,62.46,69,75,11.5
26,Elizabeth City,US,2022-05-01 11:25:51,36.2946,-76.2511,59.02,90,40,4.61
27,Bambous Virieux,MU,2022-05-01 11:25:52,-20.3428,57.7575,82.22,74,75,8.05
28,Ngama,TD,2022-05-01 11:25:53,11.7833,17.1667,104.72,19,48,7.0
29,Nizhneangarsk,RU,2022-05-01 11:25:54,55.7833,109.55,35.67,100,100,3.76
30,Kapoeta,SS,2022-05-01 11:25:55,4.7717,33.5903,89.85,41,100,14.67
31,Takoradi,GH,2022-05-01 11:24:39,4.8845,-1.7554,85.17,69,89,6.8
32,Hasaki,JP,2022-05-01 11:25:57,35.7333,140.8333,55.8,89,100,11.32
