City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,32.56,74,12,11.01,Few Clouds
1,Atuona,PF,-9.8,-139.0333,77.97,82,100,14.09,Light Rain
2,Grand Gaube,MU,-20.0064,57.6608,79.38,74,9,3,Clear Sky
3,Petrovaradin,RS,45.2467,19.8794,69.94,35,100,13.51,Overcast Clouds
4,Hilo,US,19.7297,-155.09,72.28,92,100,5.75,Light Rain
5,Batagay-Alyta,RU,67.8006,130.4114,13.93,95,100,8.63,Light Snow
6,Boyuibe,BO,-20.4167,-63.2833,57.36,97,100,4.18,Overcast Clouds
7,Puno,PE,-15.8333,-70.0333,51.73,41,15,4.05,Few Clouds
8,Punta Arenas,CL,-53.15,-70.9167,48.31,66,75,28.77,Light Rain
9,Arauco,CL,-37.2463,-73.3175,55.38,63,0,3.74,Clear Sky
10,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,0,5.75,Clear Sky
11,Sitka,US,57.0531,-135.33,42.69,87,100,3.44,Light Rain
12,Mount Isa,AU,-20.7333,139.5,74.97,60,42,8.05,Scattered Clouds
13,Bluff,NZ,-46.6,168.3333,46.8,80,82,9.06,Broken Clouds
14,Marsa Matruh,EG,31.3525,27.2453,81.88,36,47,12.1,Light Rain
15,Meulaboh,ID,4.1363,96.1285,78.17,89,100,9.33,Moderate Rain
16,Mahebourg,MU,-20.4081,57.7,79.25,80,5,9.69,Clear Sky
17,Hobart,AU,-42.8794,147.3294,61.27,73,75,6.91,Broken Clouds
18,Mataura,NZ,-46.1927,168.8643,46.47,90,34,2.84,Scattered Clouds
19,Kaitangata,NZ,-46.2817,169.8464,51.93,82,99,3.47,Overcast Clouds
20,Bairiki,KI,1.3292,172.9752,78.8,94,40,9.22,Light Intensity Shower Rain
21,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,6.91,Broken Clouds
22,Kapaa,US,22.0752,-159.319,71.92,94,100,17.27,Light Rain
23,Rikitea,PF,-23.1203,-134.9692,76.64,73,100,8.7,Overcast Clouds
24,Webuye,KE,0.6075,34.7697,70.93,78,92,4.74,Moderate Rain
25,Kudamatsu,JP,34,131.8667,55.36,66,29,5.28,Scattered Clouds
26,Coahuayana,MX,18.7333,-103.6833,76.39,28,100,0.43,Overcast Clouds
27,Castro,BR,-24.7911,-50.0119,72.1,66,32,5.99,Scattered Clouds
28,Cape Town,ZA,-33.9258,18.4232,79.11,44,98,4,Overcast Clouds
29,Port Elizabeth,ZA,-33.918,25.5701,71.31,76,48,5.01,Scattered Clouds
30,Graham,US,47.0529,-122.2943,47.7,89,100,6.91,Light Rain
31,San Quintin,MX,30.4833,-115.95,57.6,78,99,6.08,Overcast Clouds
32,Ushuaia,AR,-54.8,-68.3,47.86,49,40,11.5,Scattered Clouds
